date,realized_gain_and_loss
2013-01-25,4680.000000000109
2013-02-19,16320.000000000027
2013-02-28,9480.00000000011
2013-03-06,5460.000000000082
2013-03-08,-1319.9999999998909298440
2013-03-12,-12059.999999999809
2013-03-20,-24419.99999999989
2013-03-22,-2759.9999999999454
2013-03-28,-34859.99999999981
2013-04-19,-15539.999999999782
2013-04-23,-25139.99999999992
2013-04-25,-9659.999999999809
2013-05-02,-239.99999999991815
2013-05-06,-6899.999999999864
2013-05-08,-5459.999999999945
2013-05-14,-10979.999999999973
2013-05-31,33480.00000000011
2013-06-04,-10439.999999999918
2013-07-04,114720.00000000016
2013-07-08,-13559.999999999809
2013-07-19,8220.000000000164
2013-08-01,-22979.999999999836
2013-08-05,-7859.999999999945
2013-08-16,2100.0
2013-08-20,-6359.999999999945
2013-08-26,-7919.999999999891
2013-08-28,4560.000000000082
2013-08-30,-3900.0
2013-09-18,30780.00000000011
2013-09-24,-6239.999999999918
2013-10-08,-1679.9999999998363
2013-10-11,-2819.999999999891
2013-10-16,-12839.999999999918
2013-10-18,1080.0000000001091
2013-10-22,6000.000000000136
2013-11-15,22200.00000000014
2013-11-19,1.3642420526593924e-10
2013-12-11,-2879.9999999998363
2013-12-31,20160.00000000008
2014-01-03,-8939.999999999918
2014-01-22,-4259.999999999809
2014-01-30,-13619.99999999989
2014-02-10,-13859.999999999945
2014-02-12,-2099.9999999998636
2014-02-21,-2279.9999999999727
2014-03-17,20520.00000000003
2014-03-19,-2759.999999999809
2014-04-17,44100.00000000014
2014-05-12,13980.00000000011
2014-05-15,-5879.999999999836
2014-05-19,-9359.999999999945
2014-05-23,-13259.999999999809
2014-05-27,1680.0000000001091
2014-06-04,-14700.0
2014-06-10,-2519.999999999891
2014-06-12,120.00000000002728
2014-06-19,-12599.999999999864
2014-06-23,-3000.0
2014-06-30,-6719.999999999891
2014-07-09,-7319.999999999891
2014-07-14,-8879.999999999973
2014-07-16,-239.99999999991815
2014-08-07,53460.00000000008
2014-08-14,-1019.9999999998909
2014-08-21,-7079.999999999836
2014-08-25,-7379.999999999836
2014-09-02,-15659.999999999945
2014-09-16,-5339.999999999918
2014-09-19,-11939.999999999918
2014-09-24,-23879.99999999997
2014-10-13,-179.9999999998363
2014-10-15,4800.000000000136
2014-10-29,-3419.999999999891
2014-10-31,-16199.999999999864
2014-11-18,10020.000000000164
2014-11-20,5760.000000000082
2014-11-24,-21599.99999999986
2014-12-23,176460.0000000001
2015-01-09,80580.00000000012
2015-01-13,-2519.999999999891
2015-01-15,-36359.99999999994
2015-01-21,36240.00000000006
2015-01-23,-10859.999999999945
2015-01-28,-31079.99999999997
2015-01-30,-19439.99999999992
2015-02-10,-12239.999999999918
2015-02-12,-2759.9999999999454
2015-03-04,20040.000000000055
2015-03-06,-5039.999999999918
2015-03-12,-8399.999999999864
2015-05-05,298440.00000000006
2015-05-12,-36719.99999999989
2015-05-14,-5159.999999999945
2015-05-18,-7979.999999999836
2015-05-29,36780.00000000011
2015-06-15,-14879.999999999836
2015-07-10,270659.99999999994
2015-07-14,25020.000000000164
2015-07-22,25920.00000000003
2015-07-27,-160919.99999999988
2015-08-04,-55199.99999999986
2015-08-06,-1379.9999999999727
2015-08-18,-29999.99999999986
2015-09-07,213480.00000000012
2015-09-14,-62339.99999999992
2015-09-18,-1079.9999999998363
2015-10-08,5100.0
2015-10-12,-33419.99999999989
2015-10-21,-21719.99999999989
2015-10-28,2280.000000000109
2015-11-02,-11219.99999999989
2015-11-04,-64499.99999999986
2015-11-17,18120.00000000003
2015-11-19,-22979.999999999836
2015-12-02,-14279.999999999836
2015-12-04,18360.00000000008
2015-12-08,-12359.999999999945
2015-12-10,-7979.999999999836
2015-12-14,-35759.99999999994
2015-12-16,-1499.9999999998636
2015-12-28,-32159.999999999945
2016-02-03,226800.00000000015
2016-02-05,12360.000000000218
2016-02-25,-24959.999999999945
2016-03-02,-38819.99999999989
2016-03-04,-13259.999999999945
2016-03-11,-29279.99999999997
2016-03-28,26220.000000000164
2016-04-08,22680.00000000011
2016-04-18,-6779.999999999973
2016-04-20,-23459.99999999981
2016-05-03,-25619.99999999989
2016-05-06,-30059.99999999981
2016-05-10,3840.0000000000546
2016-05-31,-32039.99999999992
2016-06-13,-31019.99999999989
2016-06-27,-8399.999999999864
2016-07-19,33480.00000000011
2016-07-21,7140.000000000055
2016-07-26,-15959.999999999945
2016-08-05,-9119.99999999989
2016-08-09,-6419.999999999891
2016-08-23,25020.000000000164
2016-08-25,-5519.999999999891
2016-08-31,-9779.999999999836
2016-09-05,-8399.999999999864
2016-09-12,-28439.99999999992
2016-09-22,-5279.999999999973
2016-09-29,1860.0000000000819
2016-10-10,-13079.999999999836
2016-10-21,-359.99999999994543
2016-10-31,-8159.999999999809
2016-11-02,-6719.999999999891
2016-11-18,12720.000000000027
2016-12-05,11280.00000000011
2017-01-03,36600.00000000014
2017-01-11,-10739.999999999918
2017-01-13,2640.0000000000546
2017-01-18,-13259.999999999945
2017-01-20,-8219.99999999989
2017-02-07,-1019.9999999998909
2017-02-17,6780.000000000109
2017-02-27,-10919.99999999989
2017-03-01,1620.0000000000273
2017-03-13,-10559.999999999945
2017-03-17,-11759.999999999945
2017-03-22,1020.0000000001637
2017-03-24,-14999.999999999864
2017-03-30,-8939.999999999918
2017-04-14,7860.000000000082
2017-05-15,25620.000000000164
2017-06-15,27780.00000000011
2017-06-19,12480.00000000011
2017-06-21,-11339.999999999918
2017-06-23,-11099.999999999864
2017-07-04,-18179.999999999836
2017-07-07,-4200.0
2017-07-11,-8459.999999999945
2017-07-18,3240.0000000000546
2017-07-26,-13739.999999999918
2017-08-03,7440.000000000191
2017-08-09,6780.000000000109
2017-08-17,-5519.999999999891
2017-09-07,36840.00000000006
2017-09-11,3060.000000000082
2017-09-13,-119.99999999989086
2017-09-18,-7439.999999999918
2017-09-22,1560.0000000000819
2017-09-28,-8999.999999999864
2017-10-09,-12000.0
2017-10-20,5520.000000000164
2017-11-03,12300.000000000136
2017-11-23,27060.00000000008
2017-11-27,-23279.999999999836
2017-12-11,-7979.999999999973
